study_id,decision,cumulative_score,overall_notes,reasons_domains,reasons_codes,reasons_texts,population_matched_must_include,population_missing_must_include,population_exclude_flags_triggered,intervention_matched_must_include_any_of,intervention_exclude_flags_triggered,comparator_required,comparator_accept_single_arm,comparator_matched_must_include_any_of,comparator_missing,comparator_notes,outcomes_matched_required_any_of,outcomes_exclude_if_only_triggered,outcomes_notes,study_design_classified_as,study_design_matches_include_list,study_design_matches_exclude_list,other_estimated_sample_size,other_sample_size_ok,other_year_of_publication,other_within_year_range,other_language,other_language_allowed
38277619,exclude,1,"The study is excluded primarily because it lacks the required post-allogeneic stem-cell transplantation population context, the intervention is not maintenance therapy in that context, and it is a single-arm study without the required comparator.",population | intervention | comparator,missing_required_population_context | wrong_intervention_context | missing_required_comparator,"The study population does not specify patients who have undergone allogeneic stem-cell transplantation, which is a critical component of the required population. | The intervention (gilteritinib) is used for newly diagnosed or relapsed/refractory AML, not as maintenance therapy after allogeneic stem-cell transplantation as required by the PICO. | The study is a single-arm phase I/II trial and does not include a comparator arm of 'no TKI maintenance' or equivalent, which is required and single-arm studies are not accepted.",adults | FLT3-ITD | acute myeloid leukemia | AML,allogeneic stem-cell transplantation,,gilteritinib | FLT3 inhibitor,TKI induction | TKI consolidation,True,False,,True,Study is a single-arm phase I/II trial; no comparator arm is present.,relapse-free survival | RFS | overall survival | OS,False,Relapse-free survival and overall survival are reported.,clinical trial,True,False,52,True,,,English,True
32673171,include,10,"This study perfectly aligns with all specified eligibility criteria, including population, intervention, comparator, outcomes, and study design. It is a randomized, placebo-controlled trial investigating TKI maintenance in the correct patient group.",,,,adult patients | FLT3-ITD-positive AML | allogeneic hematopoietic stem cell transplantation | HCT,,,tyrosine kinase inhibitor maintenance | FLT3 inhibitor maintenance | sorafenib maintenance,,True,False,placebo,False,"Study includes a placebo control arm, which is an exact match for the required comparator.",Relapse-free survival | RFS,False,Relapse-free survival (RFS) is explicitly stated as the primary endpoint.,randomized controlled trial,True,False,83,True,,,English,True
38471061,include,10,"Study clearly meets all eligibility criteria for inclusion. It is a randomized trial comparing FLT3 inhibitor maintenance to placebo in adults with FLT3-ITD AML post-allogeneic HCT, reporting RFS and OS.",,,,Adults | FLT3-ITD | AML | allogeneic hematopoietic cell transplantation,,,FLT3 inhibitor maintenance,,True,False,placebo,False,"Comparator is placebo, which is an exact match for 'no TKI maintenance' or 'standard of care without TKI' in the context of a randomized trial.",relapse-free survival | RFS | overall survival | OS,False,"Primary endpoint is RFS, secondary is OS.",randomized controlled trial,True,False,356,True,,,English,True
39775763,include,9,"The study is a randomized trial comparing TKI maintenance (gilteritinib) to placebo in the correct population (FLT3-ITD AML post-HCT) and reports relevant outcomes (RFS, OS). 'Adults' is implied but not explicitly stated in the abstract.",,,,FLT3-ITD-mutated acute myeloid leukemia (AML) | hematopoietic cell transplantation (HCT),adults,,gilteritinib maintenance therapy,,True,False,placebo,False,Study compares gilteritinib to placebo as required.,relapse-free survival (RFS) | survival,False,Relapse-free survival and overall survival (implied by 'survival') are reported.,randomized controlled trial,True,False,,,,,English,True
28644114,exclude,2,"The study is excluded because the population for TKI maintenance is not restricted to patients who have undergone allogeneic stem-cell transplantation, which is a critical component of the PICO.",population,wrong_population,"The study population for TKI maintenance is not exclusively patients who have undergone allogeneic stem-cell transplantation. Allogeneic transplantation was 'allowed' but not a prerequisite for entering the maintenance phase, which is a key requirement of the PICO.",adults | acute myeloid leukemia | AML | FLT3-ITD,allogeneic stem-cell transplantation (as a defining characteristic of the maintenance population),,tyrosine kinase inhibitor maintenance | TKI maintenance,,True,False,placebo,False,"Comparator is placebo, which is a valid 'no TKI maintenance' option.",overall survival | relapse-free survival,False,Overall survival and event-free survival (proxy for relapse-free survival) are reported.,randomized controlled trial,True,False,717,True,,,English,True
41052406,exclude,1,"The study is excluded primarily because the population does not include patients who have undergone allogeneic stem-cell transplantation, and the intervention context (TKI during induction/consolidation) is explicitly excluded by the criteria.",population | intervention,wrong_population | wrong_intervention_context,"The study population consists of patients with newly diagnosed FLT3-ITD-mutated AML receiving TKI during induction/consolidation and maintenance, but does not specify patients who have undergone allogeneic stem-cell transplantation as required by the PICO. | The intervention involves quizartinib (TKI) added to induction and consolidation chemotherapy, which is explicitly excluded by the criteria ('TKI induction', 'TKI consolidation'). The maintenance phase is not specified as post-allogeneic stem-cell transplantation.",FLT3-ITD | acute myeloid leukemia | AML,adults | allogeneic stem-cell transplantation,,FLT3 inhibitor maintenance | monotherapy maintenance,TKI induction | TKI consolidation,True,False,placebo,False,Study compares quizartinib to placebo.,survival | relapse,False,"Survival and relapse outcomes are reported, implying overall survival and relapse-free survival.",randomized controlled trial,True,False,,,,,English,True
31175001,exclude,1,"The study is excluded because the intervention is salvage therapy, not maintenance, and the comparator is active chemotherapy, not 'no TKI maintenance'. The population also does not strictly meet the 'after allogeneic stem-cell transplantation' requirement for all patients.",intervention | comparator | population,wrong_intervention_type | wrong_comparator | wrong_population,"The study investigates quizartinib as salvage therapy for relapsed or refractory acute myeloid leukemia, not as maintenance therapy after allogeneic stem-cell transplantation as required by the PICO. | The study's comparator is active salvage chemotherapy, which does not match the required 'no TKI maintenance' comparator for the PICO. | The study population includes patients with or without prior allogeneic stem-cell transplantation, whereas the PICO specifically requires patients who have undergone allogeneic stem-cell transplantation.",adults | FLT3-ITD | acute myeloid leukemia | AML,allogeneic stem-cell transplantation (as a prerequisite for all patients),,,TKI induction | TKI consolidation,True,False,,True,"Comparator is active salvage chemotherapy, not 'no TKI maintenance'.",overall survival,False,Overall survival is reported.,randomized controlled trial,True,False,367,True,2017,True,English,True
34914826,exclude,1,"The study is excluded due to significant mismatches in population (B-ALL instead of FLT3-ITD AML), intervention (Blinatumomab instead of TKI), and the absence of a required comparator arm.",population | intervention | comparator,wrong_population | wrong_intervention | missing_required_comparator,"The study population is B-lineage acute lymphoblastic leukemia (ALL), not FLT3-ITD-mutated acute myeloid leukemia (AML) as required. | The intervention is blinatumomab maintenance, which is not a tyrosine kinase inhibitor (TKI) maintenance therapy. | The study is described as a single-center phase 2 study, which is primarily single-arm. Although a 'matched analysis with a contemporary cohort' is mentioned, the eligibility criteria require a specific comparator and do not accept single-arm designs.",allogeneic hematopoietic cell transplantation,adults | FLT3-ITD | acute myeloid leukemia | AML,other leukemia,,non-TKI maintenance,True,False,,True,Primarily a single-arm feasibility study; a 'matched analysis with a contemporary cohort' is mentioned but not a prospectively designed comparator arm.,graft-versus-host disease | GVHD | overall survival | OS,False,Reports overall survival and graft-versus-host disease.,clinical trial,True,False,21,True,,,English,True
39180903,exclude,1,"The study is excluded due to significant mismatches in population, intervention, and the absence of a required comparator arm. While some outcomes and the study design are acceptable, the core PICO elements are not met.",population | intervention | comparator,wrong_population | wrong_intervention | missing_required_comparator,"The study population consists of patients with relapsed/refractory FLT3-mutated AML receiving triplet therapy, with some later receiving allo-HSCT. The PICO requires patients who have already undergone allogeneic stem-cell transplantation prior to the intervention. | The study investigates a triplet therapy (gilteritinib+venetoclax+azacitidine) for relapsed/refractory AML, which is not described as TKI maintenance therapy after allogeneic stem-cell transplantation as required by the PICO. | The study is a single-arm retrospective analysis and lacks a comparator arm (e.g., no TKI maintenance, observation) as required by the eligibility criteria, which explicitly state that single-arm studies are not accepted.",acute myeloid leukemia | AML | FLT3 mut,adults | FLT3-ITD | allogeneic stem-cell transplantation (as a pre-requisite for maintenance),,gilteritinib,,True,False,,True,Study is a single-arm retrospective analysis; no comparator arm is present.,overall survival | OS,False,Overall survival is reported.,retrospective cohort study,True,False,29,True,,,English,True
38197938,exclude,1,"The study is excluded primarily due to the lack of a comparator group, the intervention not being a TKI, and the inclusion of MDS patients. While some outcomes and study design aspects align, the core PICO elements are mismatched.",comparator | intervention | population,missing_required_comparator | wrong_intervention | wrong_population,"The study is a single-arm phase 1 trial and lacks a comparator group, but the eligibility criteria require a comparator and do not accept single-arm designs. | The intervention is venetoclax and azacitidine maintenance, which is not a tyrosine kinase inhibitor (TKI) maintenance as required by the eligibility criteria. | The study population includes patients with myelodysplastic syndromes (MDS), which is an exclusion criterion. The study also does not specify FLT3-ITD mutation status.",acute myeloid leukemia | AML | allogeneic stem cell transplantation | allo-SCT,adults | FLT3-ITD,myelodysplastic syndrome | MDS,,non-TKI maintenance,True,False,,True,Study is a single-arm phase 1 trial with no explicit comparator arm.,overall survival | OS | graft-versus-host disease | GVHD,False,Overall survival and GVHD rates are reported.,phase 1 clinical trial,True,False,27,True,,,English,True
40106768,exclude,1,"The study is excluded due to significant mismatches in population (not FLT3-ITD AML), intervention (JAK inhibitor for GVHD, not TKI for FLT3-ITD AML), and the absence of a required comparator arm.",population | intervention | comparator,wrong_population | wrong_intervention | missing_required_comparator,"The study population is not specified as FLT3-ITD-mutated acute myeloid leukemia (AML). The study focuses on graft-versus-host disease (GVHD) prevention post-HCT, without specifying the underlying disease as FLT3-ITD AML. | The intervention is ruxolitinib, a JAK inhibitor, used for GVHD prevention. The eligibility criteria require a tyrosine kinase inhibitor (TKI) specifically for FLT3-ITD AML maintenance, which ruxolitinib is not in this context. | The study is described as a phase 2 trial administering ruxolitinib maintenance, implying a single-arm design or lacking an explicit comparator arm of 'no TKI maintenance' or equivalent, which is required by the eligibility criteria.",allogeneic hematopoietic cell transplantation | HCT,adults | FLT3-ITD | acute myeloid leukemia | AML,,,,True,False,,True,Study appears to be a single-arm phase 2 trial; no explicit comparator arm of 'no TKI maintenance' is described.,"GVHD-free, relapse-free survival | Overall survival | graft-versus-host disease | cGVHD",False,"Relapse-free survival, overall survival, and GVHD outcomes are reported.","prospective, multicenter, phase 2 trial",True,False,78,True,,,English,True
35551662,exclude,0,"The study is a review article, not a primary research study, and focuses on immune-based therapies rather than TKI maintenance. It also does not specify the FLT3-ITD mutation in the population and lacks a comparator arm.",study_design | intervention | comparator | population,wrong_design | wrong_intervention | missing_required_comparator | wrong_population,"The study is a review article, which is explicitly excluded by the eligibility criteria. | The study focuses on immune-based therapies such as checkpoint inhibitors, bispecific antibodies, CAR T-cell therapy, and ADCs, not tyrosine kinase inhibitor (TKI) maintenance therapy. | The study is a review and does not describe a specific intervention with a comparator arm, which is required by the eligibility criteria. | The study population is not specifically restricted to 'FLT3-ITD-mutated' acute myeloid leukemia.",adults | acute myeloid leukemia | AML | allogeneic stem cell transplantation | allo-SCT,FLT3-ITD,,,,True,False,,True,The study is a review and does not present a specific comparator arm.,,False,Outcomes related to TKI maintenance are not discussed as primary or secondary outcomes of a specific study.,review,False,True,,,,,English,True
35130342,exclude,1,"The study is excluded due to significant mismatches in population (missing post-transplant context), intervention (not maintenance therapy), and comparator (active salvage chemotherapy vs. no TKI maintenance). While overall survival is an outcome, the core PICO elements are not met.",population | intervention | comparator,wrong_population | wrong_intervention | wrong_comparator,"The study population is patients with relapsed or refractory acute myeloid leukemia (AML), but does not specify that they have undergone allogeneic stem-cell transplantation, which is a critical part of the PICO. | The intervention is gilteritinib for relapsed or refractory AML, which is a treatment for active disease, not TKI maintenance therapy after allogeneic stem-cell transplantation as required by the PICO. | The study compares gilteritinib to 'salvage chemotherapy'. This does not match the required comparator of 'no TKI maintenance', 'observation', 'placebo', or 'standard of care without TKI' for maintenance therapy.",FLT3-mutated | acute myeloid leukemia | AML,adults | allogeneic stem-cell transplantation,,,TKI induction,True,False,,True,"Comparator is 'salvage chemotherapy', which is an active treatment and not 'no TKI maintenance'.",overall survival,False,"Overall survival is mentioned, but other key criteria are not met.",randomized controlled trial,True,False,,,,,English,True
40079105,include,9,"The study is a randomized phase III trial comparing quizartinib (a TKI) maintenance therapy to placebo in FLT3-ITD positive AML patients who underwent allo-HCT, reporting on overall survival and GVHD. This aligns well with all eligibility criteria.",,,,adults | FLT3-internal tandem duplication (ITD)-positive acute myeloid leukemia (AML) | allogeneic hematopoietic cell transplantation (allo-HCT),,,quizartinib maintenance therapy | single-agent maintenance therapy,,True,False,placebo,False,Study compares quizartinib to placebo as maintenance therapy.,overall survival (OS) | graft-versus-host disease,False,Reports overall survival and graft-versus-host disease.,randomized phase III trial,True,False,,,,,English,True
